time;group_1;group_2;group_3;tissue;compound;exposure
0;0;0;0;kidney;UV-326;0.5
4;126.93;127.4;97.73;kidney;UV-326;0.5
8;210.89;156.56;179.31;kidney;UV-326;0.5
12;185.26;178.7;250.75;kidney;UV-326;0.5
16;221.95;221.34;246.85;kidney;UV-326;0.5
20;241.47;220.16;296.24;kidney;UV-326;0.5
24;335.23;232.63;261.1;kidney;UV-326;0.5
28;315.25;281.91;217.35;kidney;UV-326;0.5
29;234.01;248.58;204.51;kidney;UV-326;0.5
32;186.94;209.26;161.15;kidney;UV-326;0.5
34;128.35;160.21;151;kidney;UV-326;0.5
38;103.71;98.24;162.4;kidney;UV-326;0.5
42;85.4;86.91;60.6;kidney;UV-326;0.5
0;0;0;0;liver;UV-326;0.5
4;37.02;46.9;55.94;liver;UV-326;0.5
8;62.76;86.22;73.65;liver;UV-326;0.5
12;100.1;63.34;98.72;liver;UV-326;0.5
16;117.19;80.84;108.2;liver;UV-326;0.5
20;117.34;99.95;105.97;liver;UV-326;0.5
24;89.06;109.73;126.39;liver;UV-326;0.5
28;138.9;128.33;95.44;liver;UV-326;0.5
29;62.08;55.46;70.36;liver;UV-326;0.5
32;41.48;30.23;20.48;liver;UV-326;0.5
34;16.5;13.39;12.42;liver;UV-326;0.5
38;16.18;14.31;9.36;liver;UV-326;0.5
42;5.69;7.74;3.69;liver;UV-326;0.5
0;0;0;0;gill;UV-326;0.5
4;124.04;130.93;139.76;gill;UV-326;0.5
8;175.8;207.4;223.33;gill;UV-326;0.5
12;202.9;206.72;273.33;gill;UV-326;0.5
16;220.96;297.38;272.54;gill;UV-326;0.5
20;291.88;254.2;305.94;gill;UV-326;0.5
24;312.24;274.44;313.08;gill;UV-326;0.5
28;290.35;301.32;333.5;gill;UV-326;0.5
29;227.09;192.84;209.23;gill;UV-326;0.5
32;177.23;153.44;146.59;gill;UV-326;0.5
34;148.61;118.51;132.76;gill;UV-326;0.5
38;87.13;82.01;83.33;gill;UV-326;0.5
42;71.31;69.34;59.28;gill;UV-326;0.5
0;0;0;0;muscle;UV-326;0.5
4;46.45;34.68;35.86;muscle;UV-326;0.5
8;53.98;44.35;39.29;muscle;UV-326;0.5
12;53.45;67.74;65.62;muscle;UV-326;0.5
16;87.26;86.94;77.79;muscle;UV-326;0.5
20;93.41;91.74;94.64;muscle;UV-326;0.5
24;110.43;105.12;106.64;muscle;UV-326;0.5
28;93.64;95.62;100.01;muscle;UV-326;0.5
29;60.17;52.16;55.84;muscle;UV-326;0.5
32;44.6;46.52;39.27;muscle;UV-326;0.5
34;32.35;37.72;35.15;muscle;UV-326;0.5
38;27.02;26.05;23.79;muscle;UV-326;0.5
42;18.7;13.25;18.36;muscle;UV-326;0.5
0;0;0;0;ovary;UV-326;0.5
4;44.37;43.67;38.69;ovary;UV-326;0.5
8;50.07;63.54;45.23;ovary;UV-326;0.5
12;55.21;82.7;62.2;ovary;UV-326;0.5
16;58.7;77.73;78.67;ovary;UV-326;0.5
20;91.65;53.9;73.2;ovary;UV-326;0.5
24;81.96;68.32;83.59;ovary;UV-326;0.5
28;75.88;73.07;87.91;ovary;UV-326;0.5
29;60.12;53.39;58.77;ovary;UV-326;0.5
32;39.94;34.97;35.05;ovary;UV-326;0.5
34;29.37;29.29;29.2;ovary;UV-326;0.5
38;12.02;10.75;11.89;ovary;UV-326;0.5
42;10.15;8.6;11.83;ovary;UV-326;0.5
0;0;0;0;intestine;UV-326;0.5
4;131.66;111.64;154.95;intestine;UV-326;0.5
8;173.25;139.29;618.41;intestine;UV-326;0.5
12;184.42;188.03;203.63;intestine;UV-326;0.5
16;196.15;217.85;244.53;intestine;UV-326;0.5
20;221.51;206.39;237.25;intestine;UV-326;0.5
24;186.43;246.04;225.01;intestine;UV-326;0.5
28;248.32;241.11;224.28;intestine;UV-326;0.5
29;238.11;197.86;224.97;intestine;UV-326;0.5
32;116.06;152.39;150.62;intestine;UV-326;0.5
34;93.35;67.1;48.33;intestine;UV-326;0.5
38;27.46;20.47;41.35;intestine;UV-326;0.5
42;0;0;0;intestine;UV-326;0.5
0;0;0;0;skin;UV-326;0.5
4;156.77;142.67;177.58;skin;UV-326;0.5
8;313.07;312.49;307.46;skin;UV-326;0.5
12;390.13;332.84;347.84;skin;UV-326;0.5
16;474.19;513.96;345.1;skin;UV-326;0.5
20;526.84;435.5;479.26;skin;UV-326;0.5
24;597.97;526.49;565.98;skin;UV-326;0.5
28;790.73;537.22;620.03;skin;UV-326;0.5
29;680.14;545.32;465.32;skin;UV-326;0.5
32;554.26;447.4;389.43;skin;UV-326;0.5
34;449.58;422.72;390.42;skin;UV-326;0.5
38;279.51;214.83;285.76;skin;UV-326;0.5
42;256.81;174.64;233.82;skin;UV-326;0.5
0;0;0;0;kidney;UV-327;0.5
4;364.33;387.32;294.67;kidney;UV-327;0.5
8;743.52;515.12;637.5;kidney;UV-327;0.5
12;729.37;654.17;793.3;kidney;UV-327;0.5
16;959.63;822.26;985.74;kidney;UV-327;0.5
20;1017.6;891.8;1149.62;kidney;UV-327;0.5
24;1415.57;1063.89;1372.59;kidney;UV-327;0.5
28;1380.08;1503.62;1456.86;kidney;UV-327;0.5
29;1558.06;1212.02;1425.27;kidney;UV-327;0.5
32;1181.44;1521.4;1491.33;kidney;UV-327;0.5
34;1083.14;1456.96;1369.25;kidney;UV-327;0.5
38;1057.87;939.3;1363.68;kidney;UV-327;0.5
42;1050.19;1027.77;1244.34;kidney;UV-327;0.5
0;0;0;0;liver;UV-327;0.5
4;544.16;486.81;627.28;liver;UV-327;0.5
8;1229.3;851.16;1179.33;liver;UV-327;0.5
12;1504.12;889.91;1245.16;liver;UV-327;0.5
16;1277.21;1433.26;1742.46;liver;UV-327;0.5
20;1798.26;1484.06;1901.54;liver;UV-327;0.5
24;1909.99;1593.53;2007.77;liver;UV-327;0.5
28;1722.95;2290.79;1564.68;liver;UV-327;0.5
29;1893.18;1457.24;2023.36;liver;UV-327;0.5
32;1378.19;1067.46;762.48;liver;UV-327;0.5
34;1077.58;671.63;810.36;liver;UV-327;0.5
38;834.38;787.03;712.92;liver;UV-327;0.5
42;687.59;467.82;763.97;liver;UV-327;0.5
0;0;0;0;gill;UV-327;0.5
4;210.47;208.62;205.86;gill;UV-327;0.5
8;324;419.34;486.65;gill;UV-327;0.5
12;447.32;508;632.25;gill;UV-327;0.5
16;543.16;697.04;807.49;gill;UV-327;0.5
20;851.4;698.92;923.31;gill;UV-327;0.5
24;926.8;824.66;1001.34;gill;UV-327;0.5
28;901.83;1045.8;1080.7;gill;UV-327;0.5
29;1018.95;798.55;1077.89;gill;UV-327;0.5
32;847.36;738.44;952.82;gill;UV-327;0.5
34;822.81;690.96;883.64;gill;UV-327;0.5
38;747.96;599.19;816.35;gill;UV-327;0.5
42;646.62;681.26;716.62;gill;UV-327;0.5
0;0;0;0;muscle;UV-327;0.5
4;103.65;115.22;79.31;muscle;UV-327;0.5
8;123.66;100.29;116.1;muscle;UV-327;0.5
12;161.02;226.74;226.55;muscle;UV-327;0.5
16;229.08;249;293.87;muscle;UV-327;0.5
20;373.89;365.5;343.11;muscle;UV-327;0.5
24;426;375.98;405.67;muscle;UV-327;0.5
28;349.16;392.47;426.21;muscle;UV-327;0.5
29;411.18;345.13;414.12;muscle;UV-327;0.5
32;300.23;332.61;346.53;muscle;UV-327;0.5
34;251.93;313.8;353.32;muscle;UV-327;0.5
38;272.85;240.26;280.15;muscle;UV-327;0.5
42;219.42;190.33;261.76;muscle;UV-327;0.5
0;0;0;0;ovary;UV-327;0.5
4;85.36;86.26;80.94;ovary;UV-327;0.5
8;180.41;181.34;182.32;ovary;UV-327;0.5
12;308.31;381.05;326.94;ovary;UV-327;0.5
16;343.05;426.28;457.53;ovary;UV-327;0.5
20;576.87;480.22;585.69;ovary;UV-327;0.5
24;703.07;635.06;778.06;ovary;UV-327;0.5
28;633.29;708.76;733.06;ovary;UV-327;0.5
29;680.28;568.84;678.46;ovary;UV-327;0.5
32;652.85;534.03;524.48;ovary;UV-327;0.5
34;545.15;477.09;600.55;ovary;UV-327;0.5
38;462.89;460.3;522.75;ovary;UV-327;0.5
42;464.94;401.02;531.49;ovary;UV-327;0.5
0;0;0;0;intestine;UV-327;0.5
4;160.01;115.74;120.15;intestine;UV-327;0.5
8;337.55;441.42;361.1;intestine;UV-327;0.5
12;527.61;493.57;643.85;intestine;UV-327;0.5
16;577.12;468.69;865.53;intestine;UV-327;0.5
20;917.76;625.96;804.53;intestine;UV-327;0.5
24;1018.03;877.13;941.36;intestine;UV-327;0.5
28;909.12;1025;948.17;intestine;UV-327;0.5
29;887.45;687.41;907.14;intestine;UV-327;0.5
32;793.63;678.56;672.33;intestine;UV-327;0.5
34;712.67;519.22;685.12;intestine;UV-327;0.5
38;575.15;465.84;603.89;intestine;UV-327;0.5
42;510.51;514.02;631.31;intestine;UV-327;0.5
0;0;0;0;skin;UV-327;0.5
4;127.11;111.66;147.95;skin;UV-327;0.5
8;291.45;339.46;302.9;skin;UV-327;0.5
12;571.31;484.96;596.36;skin;UV-327;0.5
16;805.88;879.76;708.92;skin;UV-327;0.5
20;1082.99;933.77;1109.32;skin;UV-327;0.5
24;1179.83;1151.41;1418.46;skin;UV-327;0.5
28;1710.99;1270.67;1663.76;skin;UV-327;0.5
29;1670.89;1842.56;1333.57;skin;UV-327;0.5
32;1746.24;1398.82;1308.75;skin;UV-327;0.5
34;1432.34;1375.48;1508.96;skin;UV-327;0.5
38;1247.13;965;1354.6;skin;UV-327;0.5
42;1253.72;984.31;1298.46;skin;UV-327;0.5
0;0;0;0;kidney;UV-328;0.5
4;143.14;123.26;118.76;kidney;UV-328;0.5
8;336.02;257.28;299.25;kidney;UV-328;0.5
12;298.91;276.27;365.6;kidney;UV-328;0.5
16;447.94;362.55;455.7;kidney;UV-328;0.5
20;533.14;403.2;579.76;kidney;UV-328;0.5
24;660.55;490.14;701.66;kidney;UV-328;0.5
28;697.01;673.19;693.12;kidney;UV-328;0.5
29;755.09;514.4;629.56;kidney;UV-328;0.5
32;521.37;664.08;672.74;kidney;UV-328;0.5
34;512.42;626.59;581.99;kidney;UV-328;0.5
38;557.66;451.36;657.98;kidney;UV-328;0.5
42;554.32;460.56;552.99;kidney;UV-328;0.5
0;0;0;0;liver;UV-328;0.5
4;196.59;188.53;241.12;liver;UV-328;0.5
8;563.8;408.5;535.24;liver;UV-328;0.5
12;608.84;454.26;508.16;liver;UV-328;0.5
16;555.09;667.7;708.96;liver;UV-328;0.5
20;765.32;690.06;688.1;liver;UV-328;0.5
24;789.35;590.84;849.12;liver;UV-328;0.5
